Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.190690,-0.290750,0.896841,0.191340,-0.205210,0.774121,0.126840,-0.181640,0.372951,-0.219710,-0.211280,0.193161,-0.229920,-0.217580,0.051301,0.213330,-0.392030,0.800131,0.422660,-0.356740,0.447721,0.406300,-0.329550,0.064561,0.543670,-0.342260,0.015201
2.000000,0.200660,-0.291170,0.897661,0.201990,-0.205960,0.774691,0.144970,-0.181470,0.372351,-0.203830,-0.210320,0.197851,-0.216400,-0.216560,0.055641,0.223490,-0.392770,0.801201,0.429660,-0.356970,0.446951,0.407110,-0.329150,0.064331,0.543780,-0.342270,0.014151
3.000000,0.210580,-0.291620,0.898621,0.212570,-0.206700,0.775451,0.163130,-0.181310,0.372161,-0.187410,-0.209370,0.202161,-0.201570,-0.215480,0.059691,0.233640,-0.393500,0.802321,0.436160,-0.357160,0.446161,0.407840,-0.328740,0.064141,0.543810,-0.342270,0.013301
4.000000,0.220460,-0.292110,0.899751,0.223050,-0.207410,0.776391,0.181310,-0.181160,0.372391,-0.170480,-0.208410,0.206031,-0.185520,-0.214340,0.063351,0.243750,-0.394210,0.803511,0.442210,-0.357320,0.445391,0.408460,-0.328350,0.063991,0.543790,-0.342250,0.012621
5.000000,0.230300,-0.292610,0.901031,0.233420,-0.208070,0.777541,0.199500,-0.180990,0.373021,-0.153050,-0.207430,0.209401,-0.168330,-0.213150,0.066561,0.253810,-0.394890,0.804771,0.447820,-0.357450,0.444681,0.409000,-0.328000,0.063881,0.543710,-0.342230,0.012081
6.000000,0.240100,-0.293120,0.902491,0.243660,-0.208660,0.778901,0.217710,-0.180810,0.374061,-0.135180,-0.206410,0.212241,-0.150090,-0.211930,0.069271,0.263790,-0.395520,0.806141,0.453030,-0.357550,0.444061,0.409440,-0.327700,0.063811,0.543600,-0.342200,0.011641
7.000000,0.249860,-0.293630,0.904121,0.253780,-0.209190,0.780471,0.235940,-0.180630,0.375471,-0.116900,-0.205340,0.214531,-0.130880,-0.210680,0.071451,0.273670,-0.396080,0.807621,0.457870,-0.357650,0.443531,0.409790,-0.327460,0.063801,0.543450,-0.342180,0.011271
8.000000,0.259600,-0.294120,0.905921,0.263770,-0.209640,0.782241,0.254200,-0.180450,0.377231,-0.098220,-0.204250,0.216271,-0.110780,-0.209420,0.073081,0.283460,-0.396570,0.809231,0.462350,-0.357750,0.443091,0.410070,-0.327290,0.063821,0.543290,-0.342160,0.010981
9.000000,0.269310,-0.294600,0.907901,0.273640,-0.210010,0.784211,0.272500,-0.180280,0.379311,-0.079190,-0.203130,0.217451,-0.089860,-0.208140,0.074171,0.293160,-0.396990,0.810971,0.466510,-0.357860,0.442731,0.410270,-0.327170,0.063891,0.543100,-0.342140,0.010721
10.000000,0.279000,-0.295040,0.910031,0.283420,-0.210300,0.786361,0.290810,-0.180130,0.381681,-0.059810,-0.202030,0.218101,-0.068160,-0.206860,0.074721,0.302760,-0.397340,0.812861,0.470360,-0.357990,0.442451,0.410400,-0.327130,0.063991,0.542900,-0.342140,0.010511
11.000000,0.288680,-0.295450,0.912311,0.293130,-0.210520,0.788691,0.309140,-0.180000,0.384321,-0.040090,-0.200950,0.218201,-0.045740,-0.205570,0.074761,0.312290,-0.397630,0.814871,0.473910,-0.358130,0.442231,0.410460,-0.327130,0.064131,0.542680,-0.342140,0.010331
12.000000,0.298350,-0.295830,0.914721,0.302770,-0.210680,0.791171,0.327450,-0.179900,0.387211,-0.020050,-0.199940,0.217781,-0.022630,-0.204270,0.074321,0.321740,-0.397850,0.817011,0.477190,-0.358310,0.442041,0.410450,-0.327180,0.064321,0.542450,-0.342160,0.010161
13.000000,0.308010,-0.296180,0.917241,0.312370,-0.210770,0.793781,0.345720,-0.179830,0.390351,0.000320,-0.198990,0.216831,0.001120,-0.202960,0.073451,0.331130,-0.398010,0.819251,0.480200,-0.358520,0.441881,0.410390,-0.327270,0.064541,0.542220,-0.342190,0.010021
14.000000,0.317670,-0.296480,0.919851,0.321950,-0.210810,0.796501,0.363920,-0.179790,0.393701,0.021000,-0.198130,0.215391,0.025480,-0.201650,0.072201,0.340460,-0.398130,0.821581,0.482970,-0.358760,0.441751,0.410280,-0.327390,0.064801,0.541990,-0.342230,0.009891
15.000000,0.327330,-0.296760,0.922531,0.331510,-0.210790,0.799301,0.382040,-0.179780,0.397251,0.042000,-0.197340,0.213481,0.050400,-0.200320,0.070601,0.349740,-0.398190,0.823971,0.485500,-0.359030,0.441641,0.410130,-0.327530,0.065091,0.541750,-0.342280,0.009771
16.000000,0.336980,-0.297000,0.925251,0.341080,-0.210720,0.802161,0.400040,-0.179790,0.400981,0.063320,-0.196650,0.211121,0.075840,-0.198980,0.068711,0.358970,-0.398220,0.826391,0.487830,-0.359320,0.441551,0.409950,-0.327680,0.065421,0.541520,-0.342330,0.009661
17.000000,0.346640,-0.297210,0.927991,0.350650,-0.210610,0.805051,0.417900,-0.179820,0.404871,0.084940,-0.196040,0.208351,0.101760,-0.197630,0.066581,0.368160,-0.398200,0.828811,0.489970,-0.359630,0.441481,0.409750,-0.327840,0.065781,0.541290,-0.342400,0.009551
18.000000,0.356290,-0.297390,0.930721,0.360240,-0.210470,0.807951,0.435620,-0.179870,0.408881,0.106850,-0.195500,0.205221,0.128140,-0.196260,0.064251,0.377300,-0.398160,0.831221,0.491960,-0.359940,0.441441,0.409540,-0.327980,0.066181,0.541070,-0.342460,0.009441
19.000000,0.365960,-0.297560,0.933431,0.369840,-0.210290,0.810841,0.453160,-0.179930,0.412981,0.129050,-0.195030,0.201781,0.154940,-0.194870,0.061791,0.386410,-0.398090,0.833601,0.493820,-0.360250,0.441421,0.409330,-0.328120,0.066621,0.540850,-0.342520,0.009321
